dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,pca8,RandomForest,5,3,0.14816171969331646,85,1715
so2sat,pca8,SG-BSCM,5,4,0.11728503280299354,85,1715
so2sat,pca8,BSCM-uniform,5,4,0.12978469800518203,85,1715
so2sat,pca8,SRQFM-fid,5,4,0.11930146140103247,85,1715
so2sat,pca8,RBF-SVM,5,4,0.14478452747420784,85,1715
so2sat,pca8,RandomForest,5,4,0.1379280745981143,85,1715
so2sat,pca8,SG-BSCM,5,5,0.12927073360163804,85,1715
so2sat,pca8,BSCM-uniform,5,5,0.13502230609440502,85,1715
so2sat,pca8,SRQFM-fid,5,5,0.11848953406163384,85,1715
so2sat,pca8,RBF-SVM,5,5,0.1300468490653232,85,1715
so2sat,pca8,RandomForest,5,5,0.14341949823714584,85,1715
so2sat,pca8,SG-BSCM,5,6,0.13207792791981657,85,1715
so2sat,pca8,BSCM-uniform,5,6,0.1342191499892717,85,1715
so2sat,pca8,SRQFM-fid,5,6,0.1368685044300958,85,1715
so2sat,pca8,RBF-SVM,5,6,0.14330247682864444,85,1715
so2sat,pca8,RandomForest,5,6,0.17123988753144312,85,1715
so2sat,pca8,SG-BSCM,5,7,0.10667687887782104,85,1715
so2sat,pca8,BSCM-uniform,5,7,0.101899223613233,85,1715
so2sat,pca8,SRQFM-fid,5,7,0.11127802840840595,85,1715
so2sat,pca8,RBF-SVM,5,7,0.10325574144790242,85,1715
so2sat,pca8,RandomForest,5,7,0.17194656710231038,85,1715
so2sat,pca8,SG-BSCM,5,8,0.1117383171045989,85,1715
so2sat,pca8,BSCM-uniform,5,8,0.14069221137968893,85,1715
so2sat,pca8,SRQFM-fid,5,8,0.14194708613124601,85,1715
so2sat,pca8,RBF-SVM,5,8,0.12111866058043005,85,1715
so2sat,pca8,RandomForest,5,8,0.152069943863766,85,1715
so2sat,pca8,SG-BSCM,5,9,0.148015027370044,85,1715
so2sat,pca8,BSCM-uniform,5,9,0.1495361254976123,85,1715
so2sat,pca8,SRQFM-fid,5,9,0.1444485470193969,85,1715
so2sat,pca8,RBF-SVM,5,9,0.15735096078737315,85,1715
so2sat,pca8,RandomForest,5,9,0.13815615644771517,85,1715
so2sat,pca8,SG-BSCM,5,10,0.11946151658442052,85,1715
so2sat,pca8,BSCM-uniform,5,10,0.12448906062859659,85,1715
so2sat,pca8,SRQFM-fid,5,10,0.12059727655264707,85,1715
